epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.625,1.8879,2.83997,1.94496,0.72732,0.07917,0.14057,0.05015,1.85331,3.44781,1.93526,0.000653333,0.000653333,0.000653333
2,689.553,1.84553,2.48289,1.90703,0.23693,0.26667,0.15801,0.05108,2.22326,3.2094,2.27217,0.00127644,0.00127644,0.00127644
3,1043.67,1.93775,2.47897,1.99882,0.12474,0.225,0.07085,0.02647,2.10876,8.48452,2.44322,0.00185555,0.00185555,0.00185555
4,1381.3,1.91855,2.40884,1.97268,0.33985,0.275,0.23439,0.07356,2.35513,4.58625,2.43491,0.001802,0.001802,0.001802
5,1719.5,1.89981,2.25607,1.9586,0.38656,0.31667,0.27302,0.11281,1.96024,2.80914,2.01005,0.001736,0.001736,0.001736
6,2053.23,1.8421,2.18585,1.90807,0.37696,0.34167,0.28625,0.1158,2.35269,2.44416,2.27857,0.00167,0.00167,0.00167
7,2396.81,1.82343,2.12248,1.89097,0.55105,0.39167,0.45103,0.20172,1.81209,2.31368,1.89794,0.001604,0.001604,0.001604
8,2728.45,1.81734,2.0862,1.89112,0.52385,0.43333,0.46296,0.19249,1.86872,2.72356,1.92755,0.001538,0.001538,0.001538
9,3071.32,1.7502,2.00134,1.84438,0.56833,0.44983,0.47075,0.22066,1.78754,1.98257,1.82179,0.001472,0.001472,0.001472
10,3389.96,1.76476,1.93897,1.83854,0.4812,0.4375,0.41327,0.18819,1.78325,3.07496,1.86472,0.001406,0.001406,0.001406
11,3745.27,1.7262,1.94025,1.81952,0.56251,0.46074,0.50056,0.25229,1.70719,1.82184,1.83716,0.00134,0.00134,0.00134
12,4073.62,1.69402,1.86974,1.78784,0.60736,0.45833,0.5028,0.24587,1.7916,1.9003,1.92816,0.001274,0.001274,0.001274
13,4429.4,1.67262,1.82829,1.75788,0.55762,0.46744,0.4996,0.20647,1.94807,2.27063,1.9869,0.001208,0.001208,0.001208
14,4755.63,1.65116,1.76911,1.73034,0.56347,0.45,0.45486,0.16983,1.86969,2.29528,1.91803,0.001142,0.001142,0.001142
15,5079.68,1.67662,1.81314,1.78979,0.58341,0.49583,0.5318,0.23068,1.86791,1.88068,1.91141,0.001076,0.001076,0.001076
16,5415.64,1.62941,1.72358,1.74364,0.54259,0.42083,0.44121,0.19582,1.94612,2.07357,1.97529,0.00101,0.00101,0.00101
17,5814.71,1.61171,1.7289,1.70573,0.62388,0.54167,0.56496,0.2345,1.83981,1.7944,1.85342,0.000944,0.000944,0.000944
18,6146.14,1.62737,1.67442,1.72031,0.61723,0.59798,0.60132,0.30496,1.67512,1.63013,1.73063,0.000878,0.000878,0.000878
19,6568.62,1.57087,1.65578,1.69405,0.62303,0.63333,0.63252,0.33083,1.64994,1.50617,1.71441,0.000812,0.000812,0.000812
20,6992.41,1.57492,1.6467,1.69592,0.71675,0.53773,0.62741,0.31306,1.64146,1.58026,1.71066,0.000746,0.000746,0.000746
21,7337.34,1.59634,1.60189,1.74489,0.73173,0.54551,0.63241,0.32446,1.62883,1.55116,1.68058,0.00068,0.00068,0.00068
22,7668.21,1.52829,1.48865,1.69229,0.6958,0.55276,0.62723,0.31958,1.67064,1.54471,1.71231,0.000614,0.000614,0.000614
23,8001.34,1.50862,1.44214,1.66682,0.69278,0.6125,0.65801,0.35067,1.56116,1.44124,1.63929,0.000548,0.000548,0.000548
24,8332.86,1.50719,1.42185,1.69389,0.76164,0.56667,0.66838,0.35628,1.59656,1.46357,1.7098,0.000482,0.000482,0.000482
25,8641.18,1.47334,1.33861,1.65716,0.70951,0.60417,0.67249,0.34135,1.6164,1.42726,1.66637,0.000416,0.000416,0.000416
26,8988.43,1.4586,1.33284,1.64338,0.74914,0.52917,0.66042,0.34082,1.664,1.43984,1.68519,0.00035,0.00035,0.00035
27,9349.63,1.42984,1.29433,1.61799,0.69184,0.65417,0.70628,0.37195,1.61811,1.32635,1.67701,0.000284,0.000284,0.000284
28,9792.59,1.40422,1.24147,1.59867,0.71799,0.63333,0.68687,0.37588,1.54027,1.34633,1.62767,0.000218,0.000218,0.000218
29,10211,1.39376,1.21013,1.59704,0.69139,0.6625,0.69559,0.36453,1.60898,1.32062,1.66695,0.000152,0.000152,0.000152
30,10562.1,1.36897,1.18509,1.555,0.69175,0.6625,0.70633,0.39294,1.52356,1.26613,1.61513,8.6e-05,8.6e-05,8.6e-05
